id;name;amount;unit;created_date
1;niches Metal Developer;Account Wall cross-platform;auxiliary wireless;2022-11-11
2;end-to-end Som;back;Avon;2022-11-11
3;Archipelago) Rubber improvement;Plastic Up-sized;Fantastic Arkansas;2022-11-11
4;plug-and-play Loan Principal;synthesizing Singapore;logistical 1080p;2022-11-11
5;Agent throughput;database;bottom-line;2022-11-11
6;Dollar Zimbabwe;Gloves hard;ADP indigo withdrawal;2022-11-11
7;Movies;Director Expressway Internal;Progressive Computers;2022-11-10
8;deposit;Account;azure Toys;2022-11-10
9;primary Operative Frozen;Chicken;Associate utilize;2022-11-11
10;Account;Bike haptic;Industrial Metical Computers;2022-11-10
