id;contact_id;name;cost;sales_price;explanation;goal;body_type;activity_level_min;activity_level_max;weight_min;weight_max;daily_kcal_min;daily_kcal_max;target_weight_min;target_weight_max;unit;created_date
1;85023;Tennessee tan Soft;84415;74947;Port;LOSEFAT;LOW;8;4;73334;70444;77143;49739;90564;22241;LB;2022-11-11
2;39639;parallelism Practical Devolved;74034;43331;Fish Automotive;BUILDMUCSLE;MEDIUM;6;6;63718;15161;22974;61177;48116;36607;KG;2022-11-10
3;68253;Pants payment Seychelles;13771;74354;Virtual;BUILDMUCSLE;LOW;1;9;13145;21471;51309;85682;45523;886;LB;2022-11-11
4;78496;infrastructures Small;7474;2224;IB Cyprus;BUILDMUCSLE;LOW;3;9;12830;41854;70194;70920;23017;50977;KG;2022-11-10
5;68057;evolve parse;40796;44579;convergence Tasty;LOSEFAT;MEDIUM;1;6;77041;84875;54847;16078;30333;69388;KG;2022-11-11
6;25062;bypassing Tala lavender;65321;93891;drive capacitor;BUILDMUCSLE;HIGH;2;7;63109;85912;8591;41213;85085;95514;KG;2022-11-11
7;94507;Refined;97700;3394;function transmit;BUILDMUCSLE;MEDIUM;1;9;90091;56534;94101;60953;5994;44972;KG;2022-11-11
8;46474;Pizza invoice Division;69555;90479;Walks;MAINTAIN;LOW;2;2;7040;90659;12860;54808;35041;72990;LB;2022-11-11
9;88481;Programmable overriding bypassing;496;75370;networks Iran;LOSEFAT;MEDIUM;6;6;55864;25315;68940;55052;31318;61365;KG;2022-11-11
10;4395;Health;64430;73163;Dalasi Maine;BUILDMUCSLE;HIGH;5;2;11848;82367;38254;20728;67743;19878;KG;2022-11-11
