id;name;menu_day;menu_time;contact_id;cost;sales_price;explanation;created_date
1;SDD;TUESDAY;OTHER;92960;67712;10616;turquoise;2022-11-11
2;Regional Music;SATURDAY;LUNCH;21051;93005;5977;Lithuania e-commerce platforms;2022-11-11
3;tan;WEDENSDAY;OTHER;77263;4940;9887;world-class Dinar;2022-11-11
4;Generic Refined portals;SATURDAY;LUNCH;54992;85455;61039;info-mediaries Global;2022-11-10
5;neural;SATURDAY;BREAKFAST;73563;69390;16293;Grocery Rubber;2022-11-11
6;embrace hacking;SUNDAY;SNACK;33460;16400;16803;Florida;2022-11-10
7;magnetic Cambridgeshire;WEDENSDAY;OTHER;58817;73120;70907;firewall Soft;2022-11-11
8;Outdoors Rapid multi-byte;THURSDAY;LUNCH;36741;8676;44201;matrices programming;2022-11-11
9;HDD Rubber Industrial;SUNDAY;LUNCH;31692;6196;75963;Money azure;2022-11-11
10;Electronics envisioneer ability;WEDENSDAY;OTHER;8261;56988;32808;Kyat;2022-11-11
