id;name;protein;carb;fat;kcal;created_date
1;Savings;145;62960;44270;40031;2022-11-11
2;RAM Lats hack;54610;26264;51532;833;2022-11-11
3;Intuitive Data auxiliary;47088;22054;65938;2231;2022-11-11
4;solutions generating Vermont;37894;21281;20953;14717;2022-11-10
5;Pines;93911;49875;18963;86068;2022-11-11
6;Borders Rubber;8363;28810;9209;99146;2022-11-11
7;payment asymmetric;80299;32180;84315;25808;2022-11-11
8;JSON Ohio;98587;11774;43969;88211;2022-11-10
9;Rubber;676;9622;28919;84958;2022-11-11
10;Algerian virtual Accountability;61;58733;70037;67578;2022-11-11
