id;name;recipe;explanation;created_date
1;Dalasi;partnerships Borders;distributed Borders scale;2022-11-10
2;Liaison;Specialist feed;Frozen Multi-channelled;2022-11-11
3;RAM visionary;Usability quantifying digital;Washington Metical plum;2022-11-11
4;niches;projection card;Licensed metrics;2022-11-11
5;payment Soap Tuna;deposit interactive;Gloves functionalities;2022-11-11
6;revolutionize deposit;IB;Bedfordshire TCP turquoise;2022-11-11
7;blue generate Associate;Orchestrator orchestration Intranet;quantifying system-worthy;2022-11-11
8;Rubber;Agent Hat morph;static Planner;2022-11-11
9;vertical;Plastic hard;hacking;2022-11-11
10;matrix Keyboard;deposit Cedi overriding;evolve;2022-11-11
